id,archiveid,archivetitle,archiveviews,archivepostdate,archiveurl,archiveimg,created_at,upload_at
64,11HJEOyV4QU,【New スーパーマリオブラザーズ U デラックス】🍑勝つぞ🍑【ホロライブ/桃鈴ねね】,114192,2021-03-09T13:01:06Z,https://www.youtube.com/watch?v=11HJEOyV4QU,http://img.youtube.com/vi/11HJEOyV4QU/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
65,judZi1eMWas,【歌枠】🍑SING🍑【ホロライブ/桃鈴ねね】,143986,2021-03-08T11:17:26Z,https://www.youtube.com/watch?v=judZi1eMWas,http://img.youtube.com/vi/judZi1eMWas/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
66,JSAtuOuWmMw,【昼雑】🍑LUNCH🍑【ホロライブ/桃鈴ねね】,80740,2021-03-08T05:33:51Z,https://www.youtube.com/watch?v=JSAtuOuWmMw,http://img.youtube.com/vi/JSAtuOuWmMw/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
67,7OaiQTo9N20,【ポケモン剣盾】I CANT WAIT!!!!!!!!!!!! 【ホロライブ/桃鈴ねね】,115067,2021-03-06T10:45:23Z,https://www.youtube.com/watch?v=7OaiQTo9N20,http://img.youtube.com/vi/7OaiQTo9N20/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
68,WAgAYhemm1I,【Minecraft】I WAS GO DANCE LESSON【ホロライブ/桃鈴ねね】,135272,2021-03-04T14:33:40Z,https://www.youtube.com/watch?v=WAgAYhemm1I,http://img.youtube.com/vi/WAgAYhemm1I/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
69,O6imGMAbqS4,【お礼＆雑談】🍑SUPERCHAT READING🍑【ホロライブ/桃鈴ねね】,65324,2021-03-03T17:28:38Z,https://www.youtube.com/watch?v=O6imGMAbqS4,http://img.youtube.com/vi/O6imGMAbqS4/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
70,LzDYVX5VpEs,【1st single】🍑ねねねねねねねね！大爆走🍑発売COUNTDOWN！【桃鈴ねね/ホロライブ】,101610,2021-03-02T15:15:11Z,https://www.youtube.com/watch?v=LzDYVX5VpEs,http://img.youtube.com/vi/LzDYVX5VpEs/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
71,DhT754K7fLE,【重大発表あり！】♪HAPPYBIRTHDAY TO NENECHI♪７thLIVE🍑【桃鈴ねね/ホロライブ】,244268,2021-03-02T12:05:37Z,https://www.youtube.com/watch?v=DhT754K7fLE,http://img.youtube.com/vi/DhT754K7fLE/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
72,N6kbh4kNHKo,【晩酌⁉】🍑HAPPYBIRTHDAY COUNTDOWN🍑【ホロライブ/桃鈴ねね】,115228,2021-03-01T15:27:26Z,https://www.youtube.com/watch?v=N6kbh4kNHKo,http://img.youtube.com/vi/N6kbh4kNHKo/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
73,RtT_XZTTUuY,【視聴者参加型APEX】🍑Let’s play together!🍑【桃鈴ねね/ホロライブ】,114292,2021-02-28T16:21:17Z,https://www.youtube.com/watch?v=RtT_XZTTUuY,http://img.youtube.com/vi/RtT_XZTTUuY/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
