id,clipid,cliptitle,clipurl,clipviews,clipimg,clippostdate,created_at,updated_at
34,tZro9f2m8Ik,【桃鈴ねね】ブチギレたら台パンして圧をかけることを覚えた桃鈴ねね【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=tZro9f2m8Ik,29549,http://img.youtube.com/vi/tZro9f2m8Ik/hqdefault.jpg,2020-12-09 10:00:15,2021-06-12 12:00:00,2021-06-12 12:00:00
35,wXusL2cKLL0,【桃鈴ねね】雪花ラミィにセンシティブな声をお願いするタオリン【ホロライブ5期生切り抜き】,https://www.youtube.com/watch?v=wXusL2cKLL0,29445,http://img.youtube.com/vi/wXusL2cKLL0/hqdefault.jpg,2020-08-14 9:30:08,2021-06-12 12:00:00,2021-06-12 12:00:00
36,wetgW2GCUZQ,桃鈴ねねの3Dお披露目まとめ【ホロライブ】,https://www.youtube.com/watch?v=wetgW2GCUZQ,29424,http://img.youtube.com/vi/wetgW2GCUZQ/hqdefault.jpg,2021-04-18 23:00:10,2021-06-12 12:00:00,2021-06-12 12:00:00
37,c9_S-Jkt4Yw,【桃鈴ねね】深い闇が感じられる桃鈴ねね【切り抜き】,https://www.youtube.com/watch?v=c9_S-Jkt4Yw,29212,http://img.youtube.com/vi/c9_S-Jkt4Yw/hqdefault.jpg,2020-09-03 12:00:28,2021-06-12 12:00:00,2021-06-12 12:00:00
38,JjK2U9w-o6k,【雪花ラミィ】桃鈴ねねのだぼだぼパンツに警鐘を鳴らすパンツ杞憂民の雪花ラミィ【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=JjK2U9w-o6k,29056,http://img.youtube.com/vi/JjK2U9w-o6k/hqdefault.jpg,2021-04-25 0:54:13,2021-06-12 12:00:00,2021-06-12 12:00:00
39,rnqWK2Ik8RM,やっぱりトワ様のコメントがＴＭＴ過ぎる！！！！！【桃鈴ねね/常闇トワ】【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=rnqWK2Ik8RM,29205,http://img.youtube.com/vi/rnqWK2Ik8RM/hqdefault.jpg,2021-05-10 9:00:28,2021-06-12 12:00:00,2021-06-12 12:00:00
40,tnH0kKd44Mw,先輩について語る桃鈴ねね【ホロライブ】(hololive 切り抜き 雑談 赤井はあと 夜空メル 宝鐘マリン   五期生 雪花ラミィ),https://www.youtube.com/watch?v=tnH0kKd44Mw,28984,http://img.youtube.com/vi/tnH0kKd44Mw/hqdefault.jpg,2020-08-18 11:51:27,2021-06-12 12:00:00,2021-06-12 12:00:00
41,q0MReUrUF_o,自身が出演するゲームのオーディションの裏話をするねねち【桃鈴ねね/ホロライブ/切り抜き/メンヘラフレシア フラワリングアビス】,https://www.youtube.com/watch?v=q0MReUrUF_o,29324,http://img.youtube.com/vi/q0MReUrUF_o/hqdefault.jpg,2021-06-05 18:38:04,2021-06-12 12:00:00,2021-06-12 12:00:00
42,XszJ2KXUQsc,【桃鈴ねね】胸元センシティブだからねっ子で隠して「おいおい、おっぱいがセンシティブだと誰が決めた！」【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=XszJ2KXUQsc,28565,http://img.youtube.com/vi/XszJ2KXUQsc/hqdefault.jpg,2021-02-01 23:54:15,2021-06-12 12:00:00,2021-06-12 12:00:00
43,ZgDb0KRRU-M,いい場面でねねちのどうでもいいディスコが来て雰囲気がぶち壊されるラミィ【雪花ラミィ/桃鈴ねね/ホロライブ/切り抜き】,https://www.youtube.com/watch?v=ZgDb0KRRU-M,28512,http://img.youtube.com/vi/ZgDb0KRRU-M/hqdefault.jpg,2021-04-25 22:38:06,2021-06-12 12:00:00,2021-06-12 12:00:00
44,ZpqczvgFMUw,【鬼灯わらべ】いつの間にか「ねねち」って呼ぶ仲になったわらべちゃんとねね【桃鈴ねね】【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=ZpqczvgFMUw,28541,http://img.youtube.com/vi/ZpqczvgFMUw/hqdefault.jpg,2021-06-01 21:00:09,2021-06-12 12:00:00,2021-06-12 12:00:00
45,-xd2Fs3V4lE,大人より大人、自称“大大人”の桃鈴先生【桃鈴ねね/切り抜き】,https://www.youtube.com/watch?v=-xd2Fs3V4lE,27764,http://img.youtube.com/vi/-xd2Fs3V4lE/hqdefault.jpg,2021-04-04 10:16:18,2021-06-12 12:00:00,2021-06-12 12:00:00
46,GvKFwu7aM2c,ねねちとのイチャコラちゅっちゅでガチ照れするリスin魔王城【ホロライブID切り抜き/アユンダ・リス/桃鈴ねね/日本語翻訳】,https://www.youtube.com/watch?v=GvKFwu7aM2c,27496,http://img.youtube.com/vi/GvKFwu7aM2c/hqdefault.jpg,2021-03-05 10:39:26,2021-06-12 12:00:00,2021-06-12 12:00:00
47,ctX7eKXcPqg,【桃鈴ねね】桃鈴ねねには夢がある【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=ctX7eKXcPqg,26986,http://img.youtube.com/vi/ctX7eKXcPqg/hqdefault.jpg,2020-11-27 10:00:11,2021-06-12 12:00:00,2021-06-12 12:00:00
48,fsqPU0L5ur0,冗談のつもりが突然スパチャ祭りが始まってしまって困惑するねねち【桃鈴ねね】【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=fsqPU0L5ur0,27664,http://img.youtube.com/vi/fsqPU0L5ur0/hqdefault.jpg,2021-05-12 11:00:12,2021-06-12 12:00:00,2021-06-12 12:00:00
49,B6Ldt77Z9Fc,メサ直通のねねロードを頑張って作るもエリトラに敗北して泣くねねち【マイクラ/ホロライブ5期生/切り抜き/桃鈴ねね】,https://www.youtube.com/watch?v=B6Ldt77Z9Fc,27126,http://img.youtube.com/vi/B6Ldt77Z9Fc/hqdefault.jpg,2021-05-21 0:07:06,2021-06-12 12:00:00,2021-06-12 12:00:00
50,WZinP_u0Whw,【ホロライブ切り抜き】ねねちの脱毛事情の暴露にブチギレるラミィ【桃鈴ねね/雪花ラミィ】,https://www.youtube.com/watch?v=WZinP_u0Whw,26338,http://img.youtube.com/vi/WZinP_u0Whw/hqdefault.jpg,2021-06-08 21:02:56,2021-06-12 12:00:00,2021-06-12 12:00:00
51,_Kcw0qkHqyg,西沢5㍉ママから明かされる、ねねちも知らなかった衝撃の秘密【ホロライブ/桃鈴ねね/切り抜き】,https://www.youtube.com/watch?v=-r0TtDd3V78,36331,http://img.youtube.com/vi/-r0TtDd3V78/hqdefault.jpg,2021-04-12 13:36:36,2021-06-12 12:00:00,2021-06-12 12:00:00
52,wYuUu0W4x4A,【雪花ラミィ/桃鈴ねね】難解なパズルにパンク寸前「えぇ？ん？え？くぁwせdrftgyふじこlp」【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=_Kcw0qkHqyg,18088,http://img.youtube.com/vi/_Kcw0qkHqyg/hqdefault.jpg,2021-04-12 10:31:03,2021-06-12 12:00:00,2021-06-12 12:00:00
53,lTqDidTsPKY,桃鈴ねね、まさかの｢左右｣に大苦戦【雪花ラミィ/ホロライブ/切り抜き/5期生】,https://www.youtube.com/watch?v=wYuUu0W4x4A,1458,http://img.youtube.com/vi/wYuUu0W4x4A/hqdefault.jpg,2021-04-12 10:13:35,2021-06-12 12:00:00,2021-06-12 12:00:00
54,lRVf-3B2On8,"【おっぺぇ】ねねちが紹介する""育乳マッサージ""に興味津々のかなたんはボインボイン【天音かなた/桃鈴ねね/ホロライブ 切り抜き】",https://www.youtube.com/watch?v=u-nnF-UYPTY,30596,http://img.youtube.com/vi/u-nnF-UYPTY/hqdefault.jpg,2021-04-12 9:01:00,2021-06-12 12:00:00,2021-06-12 12:00:00
